OBJECTID,GlobalID,Zoning,Conditional,Reference,Overlays,Supplemental,last_edited_date,SHAPESTArea,SHAPESTLength
5610,CD08A907-38DE-4CDF-ABF5-573A30B02EF0,P1,,,,,2024-04-15 18:59:18+00:00,109312.81394968,2066.88820321997
5611,261C3815-90C4-4F15-AFE4-82367955A73C,AG2,,,,,2024-04-15 18:59:18+00:00,255797.111394705,2849.79444839197
5612,4E336C79-6151-43EA-8C8E-163C46E0CA14,AG2,,,,,2024-04-15 18:59:18+00:00,229617.47031071,2951.46190349924
5613,66F45E3F-FBBD-4F52-8115-97912C2B1763,R10,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,12378.05530332,583.306980571404
5614,A73359D4-5D43-4427-A13F-81C09367CAC3,R10,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,169319.7206791,4377.00464173605
5615,295F3F7E-7753-4DBB-985E-91B1CE763DB9,R10,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,15334.328753375,530.745615056753
5616,152F5A5C-8945-4676-9ED5-A06BC4AFD4EA,R10,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,26736.61341504,640.419968996994
5617,CAF4E67D-8033-43E2-B93B-18ADE70C7FCB,R10,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,188744.61004765,7032.92056768798
5618,7661522F-3382-45CE-BF5F-35FA2A55290C,R10,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,21713.454524615,1144.39645053874
5619,F4EA5CED-CAED-4AC0-8C40-8BD808B5B2BD,R10,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,62987.630945475,1962.96089977881
5620,2B348581-C288-4CE1-9EE9-37FF1C0EC938,P1,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,297294.098159895,3004.75209168595
5621,759D73E9-DE29-457C-819F-33A11525402C,R5D,,,,,2024-04-15 18:59:18+00:00,7217.88037172,449.329504053702
5622,4FEEF552-ABDA-437C-9B85-7C8644025FFD,AG2,,,,,2024-04-15 18:59:18+00:00,347064.513764855,3627.56549025975
5623,42402103-13BB-4259-82CC-72B6A520B0E2,B4,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,3531.42494293,253.879411925613
5624,6289062F-6030-4964-9216-79E8DEB40471,B2,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,4376.037853525,263.092577093276
5625,578FF8FA-0BD7-4E6C-BE97-581D9ACD1EA2,B2,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,5896.379970365,351.329163171492
5626,1248C60B-3E63-40D4-90E7-C98CBF385A6D,B2,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,6309.64991201,328.229784810808
5627,33A1BC60-DB3D-45CE-ACDC-D1A116C9A5C6,B2,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,7068.60731816,353.370377521223
5628,00C8EB63-0BFA-46E2-8CC0-A16BC2247A03,B2,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,11819.99011563,535.025370758219
5629,6BE70383-1682-4C7E-8236-35235DC75BDB,B2,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,15442.044330585,499.512817201932
5630,D47A822B-9035-4603-B732-AB74C468C069,B2,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,13952.458212115,473.715162252123
5631,91AB7750-80E7-4FD3-9493-9E00B7B8671B,B2,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,12980.793767725,455.425261414903
5632,19BE0674-63F6-43BF-97B3-EC924FCE179A,B2,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,12340.212131045,442.270200909908
5633,9DA9D770-5939-46D4-99A4-06A782E76939,B2,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,8757.58468029,397.21301060616
5634,9EE7C2BE-6A1B-4080-B265-67F924E5E6C2,B2,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,36898.052473565,790.291065753672
5635,F78FBC0E-7C4C-4AF6-BEC7-D3FE6F5C7D45,B2,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,3867.66234709,266.972127560012
5636,5F8502CE-28F1-4670-85C6-20CF9090F702,B3,,,,,2024-04-15 18:59:18+00:00,4200.589722295,376.327302362187
5637,651D8C09-AAD8-4A5D-95F8-4AA207C4C369,B3,,,,,2024-04-15 18:59:18+00:00,17389.66697537,575.040072223254
5638,EE1FEB92-C62B-4DA7-868B-E8B53FA86BF5,B3,,,,,2024-04-15 18:59:18+00:00,15759.3235656,741.274042550496
5639,7970F82A-C5D3-43EE-85F3-8164194CC6C4,B3,,,,,2024-04-15 18:59:18+00:00,15893.764399915,522.637539403148
5640,807CE177-06AC-4B80-B8AF-554F8CF28287,B3,,,,,2024-05-21 20:44:40+00:00,11244.34003304,462.284384637503
5641,0A31A865-2B51-403D-8A88-BAB1C3F50F13,CBC,,,,,2024-04-15 18:59:18+00:00,33679.40725881,924.288123361691
5642,1C4129A2-4EE7-44AC-A823-0FCEE4D2E6C2,CBC,,,,,2024-04-15 18:59:18+00:00,32654.91670415,935.131526647377
5643,801EEA9E-4EA0-4729-A32F-0ECFB4F3A551,B3,,,,,2024-04-15 18:59:18+00:00,10037.7221221,513.842114885507
5644,B445B065-69BB-4B96-9648-F3910B46F0B6,B3,,,,,2024-04-15 18:59:18+00:00,5394.134465105,304.013302158677
5645,36504E7C-645A-4C81-8F33-B33B3D80C743,B2,,,,,2024-04-15 18:59:18+00:00,4461.904012485,284.307155121268
5646,CD7B0236-1372-4164-A560-697A57F74828,B3,,,,,2024-04-15 18:59:18+00:00,19924.75175313,608.331317117586
5647,DFCB2479-24B4-426B-8042-D86DB2FADE0E,B3,,,,,2024-04-15 18:59:18+00:00,18046.67368537,591.277140913552
5648,8DC14BF5-84CF-4C63-B626-9A1163934BFE,B3,,,,,2024-04-15 18:59:18+00:00,18110.245017875,590.753079560485
5649,6C31B601-A628-427E-A1E8-021FA4FEF8F1,I1,,,,,2024-04-15 18:59:18+00:00,127646.195314095,1997.17441461368
5650,7028A25D-C160-4FFF-A5BC-850F43B375ED,I1,,,,,2024-04-15 18:59:18+00:00,24427.642860985,635.38128185896
5651,3656C971-8B7B-428A-8D33-F514F3854DDC,I1,,,,,2024-04-15 18:59:18+00:00,232043.134384115,2429.43122996971
5652,6BF10942-2621-4437-913B-08F5531E8C7E,I1,,,,,2024-04-15 18:59:18+00:00,10909.17380502,411.63786134696
5653,CA2F9755-DE7E-40FA-892F-169672853F21,I1,,,,,2024-04-15 18:59:18+00:00,77788.806812105,1157.00097206412
5654,FF63B77C-E5EC-452D-B7A0-D88AD21A8328,I1,,,,,2024-04-15 18:59:18+00:00,58732.22829426,1230.1347534896
5655,15C6A6E5-D799-4125-83D2-039830296F60,I1,,,,,2024-04-15 18:59:18+00:00,253657.965543975,2773.80601291336
5656,E26B7144-EA9E-45A8-865A-CFEB37EC01C1,I1,,,,,2024-04-15 18:59:18+00:00,19415.83102204,553.145481422721
5657,0E117BAD-10B9-495A-9052-BC8C7C3AB06E,I1,,,,,2024-04-15 18:59:18+00:00,34950.827638385,750.252868365692
5658,DF439BE2-D7D5-42F1-A81B-D0DB850E9073,I1,,,,,2024-04-15 18:59:18+00:00,14027.074585695,501.865368057244
5659,376F7F9B-713C-4453-B2AF-62E4E4811C37,I1,,,,,2024-04-15 18:59:18+00:00,13759.473229765,474.423793503068
5660,2DE42D99-A756-4BC0-B172-786A696C3EC9,I1,,,,,2024-04-15 18:59:18+00:00,37458.82192048,941.987726947228
5661,1AEB0404-008B-42AC-AD93-7CC504E854EF,I1,,,,,2024-08-02 21:28:48+00:00,22265.45149565,589.700545689908
5662,DEA50F57-549D-4C17-88EB-0C7463FFB6B5,I1,,,,,2024-04-15 18:59:18+00:00,19828.512764115,593.582800695542
5663,C8205B9F-95FF-4D5F-AFA1-7EEEAAEDF9F8,I1,,,,,2024-04-15 18:59:18+00:00,69615.198237385,1705.7222642458
5664,D0434C2B-30B4-4D3D-A76F-84B3052662AC,I1,,,,,2024-04-15 18:59:18+00:00,40235.086861415,819.27880334188
5665,3623ADBB-FDD6-4627-B699-95649B118859,I1,,,,,2024-04-15 18:59:18+00:00,119893.53429173,2343.68413184043
5666,3697A47E-827F-4E10-BA5A-AB1CCF20CFB4,I1,,,,,2024-04-15 18:59:18+00:00,2798.52678043,219.350112577343
5667,BE71C80B-083E-47D4-ABE4-1D7BD2675CA2,I1,,,,,2024-04-15 18:59:18+00:00,66303.895565705,1117.50264049337
5668,06B5A135-57DF-4766-A614-09CB172EAF34,I1,,,,,2024-04-15 18:59:18+00:00,18949.14206003,901.021131601377
5669,98393777-E3FB-4147-99CC-08AE4CA4E29D,I1,,,,,2024-04-15 18:59:18+00:00,22918.95990579,898.138611674583
5670,30576410-D8A6-4B11-B486-96EE594C47F7,I1,,,,,2024-04-15 18:59:18+00:00,9434.188004485,399.148961189539
5671,4DDCA4FB-B44E-4EA5-9D92-E15DE5456048,I1,,,,,2024-04-15 18:59:18+00:00,7773.428946785,473.539212540146
5672,92A6D1F5-8440-49FC-811B-F29E8C653F0D,I1,,,,,2024-04-15 18:59:18+00:00,16984.46468086,685.890332993705
5673,43487FCF-D3B2-4CA1-9E84-DA3AD59F579B,I1,,,,,2024-04-15 18:59:18+00:00,18916.8202947,588.696343282447
5674,A6E0D930-A340-4D7E-B2E3-061A9AD11401,I1,,,,,2024-04-15 18:59:18+00:00,18912.926053495,647.526159340461
5675,3E861366-8980-45E2-818D-E941D9E84A40,I1,,,,,2024-04-15 18:59:18+00:00,19044.537823545,583.376387684439
5676,A6F9AFF8-7A1B-4BF6-838F-D1E1FE680556,I1,,,,,2024-04-15 18:59:18+00:00,19052.09226446,591.021184328545
5677,EF72D8CA-BD30-4CB8-8140-252C5A188B4E,I1,,,,,2024-04-15 18:59:18+00:00,18514.942602005,589.074251766296
5678,1E64BD44-057D-4A0B-8317-3ADE624D04A7,I1,,,,,2024-05-22 17:27:57+00:00,15349.303670275,550.370683738501
5679,690BDC72-CF0B-4608-8213-E2E91A88FA35,I1,,,,,2024-04-15 18:59:18+00:00,484641.04843072,4666.60983082169
5680,C2EE7A29-6A34-4619-A8B9-C2E7E21289E1,I2,,,,,2024-04-15 18:59:18+00:00,1030075.7151916,8305.15067738879
5681,B36DD22C-36ED-4BB4-946E-373D4C322FA2,A12,,,,,2024-04-15 18:59:18+00:00,5094.40340796,366.976163170199
5682,8126BA54-39BF-4D43-B939-94ED2DC6CDBC,AG2,,,,,2024-04-15 18:59:18+00:00,191426.350880465,3550.5351299191
5683,7AE423AF-6607-4A2B-9E2D-BE96EC6885A5,R20,,,,,2024-04-15 18:59:18+00:00,74022.40502367,1353.78192645774
5684,93811AD6-3A27-4160-8FC1-82268BE2AD67,R20,,,,,2024-04-15 18:59:18+00:00,26652.168688585,901.792109114879
5685,EC6D76DE-891A-4301-AA09-91CACF0F2C89,R20,,,,,2024-04-15 18:59:18+00:00,55866.40257118,1313.50264724523
